,author,title,datepublished,isbn13,Title,Author,PublishedDate,ISBN13
2976,,,,,Little Cakes from the Whimsical Bakehouse,"['Kaye Hansen', 'Liv Hansen']",2008,9780307382825
2977,,,,,"Diamond & Dawn (Amber & Dusk, Book Two)",['Lyra Selene'],2019,9781338547603
2978,,,,,Amber & Dusk,['Lyra Selene'],2018,9781338210040
2979,,,,,A Feather So Black,['Lyra Selene'],2024,9780356521312
2980,,,,,Amber and Dusk,['Lyra Selene'],2019,9781338569919
2981,,,,,Falsetto in the Woods,['Lyra R. Saenz'],2021,9781644503362
2982,,,,,Sonata,['Lyra R. Saenz'],2022,9781644503881
2983,,,,,Prelude,['Lyra R. Saenz'],2021,9781644502556
2984,,,,,Bone Weaver,['Aden Polydoros'],2022,9780369721730
2985,,,,,Project Pandora,['Aden Polydoros'],2017,9781633756861
2986,,,,,Project Prometheus,['Aden Polydoros'],2018,9781640631908
2987,,,,,The City Beautiful,['Aden Polydoros'],2021,9780369702821
2988,,,,,Ring of Solomon,['Aden Polydoros'],2023,9780369722614
2989,,,,,Hades Rising,['Aden Polydoros'],2018,9781640635890
2990,,,,,Wrath Becomes Her,['Aden Polydoros'],2023,9780369736628
2991,,,,,Nightmares in Paradise,['Aden Polydoros'],2024,9780369747495
2992,,,,,The Gathering Dark,"['Erica Waters', 'Chloe Gong', 'Tori Bovalino', 'Hannah Whitten', 'Allison Saft', 'Olivia Chadha', 'Courtney Gould', 'Aden Polydoros', 'SMP Alex Brown', 'Shakira Toussaint']",2022,9781645676232
2993,,,,,La ciudad bella,['Aden Polydoros'],2022,9788409443147
2994,,,,,The One,['John Marrs'],2018,9781488084874
2995,,,,,The Passengers,['John Marrs'],2020,9780593098769
2996,,,,,The One,['John Marrs'],2017,9781785035623
2997,,,,,What Lies Between Us,['John Marrs'],2020,9781542017022
2998,,,,,Thrilling Reads Bundle,"['Mary Kubica', 'John Marrs']",2020,9780369702913
2999,,,,,The Marriage Act,['John Marrs'],2023,9780369742032
3000,,,,,The Minders,['John Marrs'],2021,9780593334720
3001,,,,,Keep It in the Family,['John Marrs'],2022,9781542017275
3002,,,,,The Good Samaritan,['John Marrs'],2018,9781503903364
3003,,,,,The Vacation,['John Marrs'],2023,9780369742049
3004,,,,,Cowboy Justice,['Melissa Cutler'],2013,9781420130065
3005,,,,,Risky Business,['Melissa Cutler'],2014,9780698151888
3006,,,,,Game Changer,['Melissa Cutler'],2015,9780698151918
3007,,,,,Colton's Cowboy Code,['Melissa Cutler'],2015,9780373279265
3008,,,,,Colton by Blood,['Melissa Cutler'],2013,9780373278343
3009,,,,,Undefeated,['Melissa Cutler'],2018,9781985761735
3010,,,,,If Santa Were a Cowboy,['Melissa Cutler'],2016,9781250108401
3011,,,,,Tempted Into Danger,['Melissa Cutler'],2013,9780373278282
3012,,,,,The Trouble with Cowboys,['Melissa Cutler'],2012,9781420130041
3013,,,,,Secret Agent Secretary,['Melissa Cutler'],2014,9781460324370
