,author,title,datepublished,isbn13
36789,['Sarah J. Maas'],Catwoman: Soulstealer,2019,9780399549724
36790,['Luke Flowers'],Labyrinth: The ABC Storybook,2020,9781250808219
36791,['Luke Flowers'],"Ready, Set, Go!: An Acorn Book (Moby Shinobi and Toby Too! #3)",2021,9781338604986
36792,['Luke Flowers'],"Ninja in the Kitchen (Moby Shinobi: Scholastic Reader, Level 1)",2017,9780545945073
36793,['Luke Flowers'],"Ninja on the Job (Moby Shinobi: Scholastic Reader, Level 1)",2018,9781338256161
36794,['Luke Flowers'],"Ready, Set, Go!",2021,9781338547573
36795,['Luke Flowers'],"Ninja on the Farm (Moby Shinobi: Scholastic Reader, Level 1)",2016,9780545945059
36796,['Luke Flowers'],"Ninja at the Firehouse (Moby Shinobi: Scholastic Reader, Level 1)",2018,9781338256130
36797,['Luke Flowers'],"Surf's Up!: An Acorn Book (Moby Shinobi and Toby, Too! #1)",2019,9781338604962
36798,['Luke Flowers'],Surf's Up!,2020,9781646972982
36799,['Luke Flowers'],"Ninja at the Pet Shop (Moby Shinobi: Scholastic Reader, Level 1)",2017,9781338187281
36800,['Luke Flowers'],Take a Hike!: An Acorn Book (Moby Shinobi and Toby Too! #2),2020,9781338604979
36801,['Luke Flowers'],Take a Hike!: an Acorn Book (Moby Shinobi and Toby Too! #2),2020,9781338547566
36802,"['Crystal Bowman', 'Teri Mckinley', 'Luke Flowers']",Christmas Coloring and Activity Book,2018,9781627078917
36803,['Luke Flowers'],Ninja at the Firehouse,2018,9781549053771
36804,['Luke Flowers'],Ninja in the Kitchen,2022,9781518259609
36805,['Luke Flowers'],"Ready, Set, Go! (Moby Shinobi and Toby Too!)",2021,9781536468946
36806,['Luke Flowers'],Ninja on the Job,2019,9781549087479
36807,['Luke Flowers'],Take a Hike,2020,9781646974665
36808,['Luke Flowers'],Take a Hike!,2020,9781725487369
36809,['Katy Evans'],Mine,2013,9781476755601
36810,['Katy Evans'],Rogue,2014,9781476755618
36811,['Katy Evans '],COMMANDER IN CHIEF,2017,9780997263640
36812,['Katy Evans'],Real,2013,9781476755595
36813,['Katy Evans'],Remy,2013,9781476764467
36814,['Katy Evans'],Racer,2017,9780997263664
36815,['Katy Evans'],Manwhore +1,2015,9781501101557
36816,['Katy Evans'],MUSE,2018,9781732443914
36817,['Katy Evans'],BIG SHOT,2019,9781488046704
36818,['Katy Evans'],Legend,2016,9781501101540
36819,['Katy Evans'],Tycoon,2017,9780997263657
36820,['Katy Evans'],Mogul,2018,9780997263695
36821,['Katy Evans'],White House,2018,9781985407947
36822,['Katy Evans'],Playboy,2018,9780997263688
36823,"['Kirsty Liddiard', 'Sally Whitney-Mitchell', 'Katy Evans', 'Lucy Watts', 'Ruth Spurr', 'Emma Vogelmann', 'Katherine Runswick-Cole', 'Dan Goodley']",Living Life to the Fullest,2022,9781839094446
36824,['Katy Evans'],Ms. Manwhore,2015,9781501126895
36825,"['Katy Evans', 'Janice Maynard']",Hot Texas Nights/#1 Boss,2019,9781489279095
36826,['Katy Evans'],Ladies Man,2016,9781530111640
36827,['Katy Evans'],Ripped,2014,9781476755625
36828,['Katy Evans'],Mr. President,2016,9781539407140
36829,"['Katy Evans', 'Reese Ryan']",Off Limits Lovers/Big Shot,2019,9781489286895
36830,['Katy Evans'],Boss,2019,9780263083613
36831,['Katy Evans'],Best Man,2019,9781732443938
36832,['Katy Evans'],Manwhore,2015,9781501101564
36833,['Katy Evans'],Million Dollar Devil,2019,9781542043809
36834,['Katy Evans'],Womanizer,2016,9781536958751
36835,"['Katy Evans', 'Joss Wood', 'Yahrah St. John']",Harlequin Desire August 2019 - Box Set 1 of 2,2019,9781488049187
36836,['Katy Evans-Bush'],Me and the Dead,2010,9781844717613
36837,['Katy Evans'],The Possibilities Are Endless Bullet Journal,2021,9798521974085
36838,['Katy Evans'],Million Dollar Marriage,2019,9781542007252
36839,['Katy Evans'],Boss (Mills & Boon Desire),2019,9781474092142
36840,"['Janice Maynard', 'Katy Evans']",Hot Texas Nights,2019,9780263271737
36841,['Katy Evans'],Madame Malcolm Saison 2.5 - Tome 3,2017,9782755631678
36842,['Katy Evans'],Wedding Crasher,2022,9783736319554
36843,['Katy Evans'],Fight for love - Tome 03,2015,9782755619980
36844,['Katy Evans-Bush'],Egg Printing Explained,2011,9781844718221
36845,['Katy Evans-Bush'],Forgive the Language,2015,9781908058324
36846,['Katy Evans'],Fight For Love Remy (Extrait offert),2015,9782755620962
36847,"['JULES BENNETT', 'Andrea Laurence', 'Joss Wood', 'KATY EVANS', 'Reese Ryan', 'Yahrah St. John']",Desire Box Set 1-6/Off Limits Lovers/Big Shot/Redeemed by Passion/Montana Seduction/From Riches to Redemption/His Marriage Demand,2019,9781489289902
36848,['Katy Evans'],Remy (Saga Real 3),2016,9788416223626
36849,['Katy Evans'],Saint plus One,2018,9783736305724
36850,['Katy Evans'],Mine,2015,9782755617290
36851,['Katy Evans'],Fight for love - Tome 01,2014,9782755619546
36852,['Katy Evans'],Racer (Saga Real 5),2019,9788417333546
36853,['Katy Evans'],Fight for love - Tome 01,2014,9782755620160
36854,['Katy Evans'],Fight for love - Tome 06,2016,9782755626247
36855,['Katy Evans'],Fight for love - Tome 01,2014,9782755620153
