,isbn13,datepublished,totalrevenue,totalunits,price
43275,9781775203445.0,2017-10-27,295214,931,451.8051948051948
43276,9781775209119.0,2018-04-25,9641,60,113.65454545454546
43277,9781775210108.0,2017-12-16,82251,261,440.2357414448669
43278,9781775210214.0,2018-06-20,19485,15,1285.5714285714287
43279,9781775217312.0,2018-03-06,155451,302,890.3347457627119
43280,9781775220602.0,2018-01-04,104107,601,251.96658711217185
43281,9781775220602.0,2018-07-04,0,0,299.0
43282,9781775223399.0,2019-01-18,0,0,399.0
43283,9781775225119.0,2018-03-01,280198,3489,95.34866828087166
43284,9781775233206.0,2018-02-22,303509,1327,361.02861445783134
43285,9781775233206.0,2018-03-24,0,0,498.0
43286,9781775233220.0,2018-04-26,213909,875,369.74220032840725
43287,9781775235019.0,2018-10-12,20005,46,474.36619718309856
43288,9781775235620.0,2017-03-05,0,0,399.0
43289,9781775235620.0,2018-04-05,115022,583,312.1017612524462
43290,9781775239031.0,2018-03-01,3685,15,402.34343434343435
43291,9781775239918.0,2018-03-09,102881,187,883.4411764705883
43292,9781775241508.0,2018-04-03,26424,93,301.17391304347825
43293,9781775242710.0,2018-04-25,0,0,799.0
43294,9781775243106.0,2018-02-26,93458,394,296.9381443298969
43295,9781775243816.0,2018-05-03,712443,3293,288.79935794542536
43296,9781775243816.0,2019-06-25,0,0,299.0
43297,9781775247203.0,2019-08-01,2446,9,121.63636363636364
43298,9781775248811.0,2018-03-15,160895,402,516.0185185185185
43299,9781775252818.0,2018-02-13,6416,24,301.94805194805195
43300,9781775253136.0,2018-06-21,53872,106,500.51063829787233
43301,9781775256410.0,2018-04-05,0,0,399.0
43302,9781775263616.0,2018-02-05,4798,15,320.55555555555554
43303,9781775264675.0,2018-10-25,99437,704,150.0920634920635
43304,9781775264699.0,2019-02-21,104086,364,375.2355072463768
43305,9781775267508.0,2018-02-20,695486,4270,274.4532577903683
43306,9781775268307.0,2018-02-15,1478975,4234,387.7177304964539
43307,9781775268338.0,2018-05-30,1433444,4468,388.4858569051581
43308,9781775268703.0,2018-02-22,10868,61,299.4485981308411
43309,9781775269502.0,2018-02-15,224677,751,292.4457308248915
43310,9781775269823.0,2018-05-01,284054,534,552.7109207708779
43311,9781775272205.0,2017-07-19,767,2,423.0
43312,9781775272205.0,2018-04-04,1692056,5609,300.3776595744681
43313,9781775278207.0,2018-05-18,753580,2660,364.5272727272727
43314,9781775290605.0,2018-02-28,160382,608,251.4170403587444
43315,9781775293101.0,2018-03-07,0,0,299.0
43316,9781775293903.0,2018-02-24,2625584,7021,380.57022471910113
43317,9781775293910.0,2015-04-01,1916,4,479.0
43318,9781775293910.0,2018-04-12,1433559,3953,382.92519083969466
43319,9781775295723.0,2018-04-02,47164,377,271.8635097493036
43320,9781775300304.0,2018-06-14,8379,22,399.6666666666667
43321,9781775300328.0,2018-06-13,3990,10,400.3333333333333
43322,9781775301332.0,2019-08-31,0,0,399.0
43323,9781775304708.0,2018-05-22,496365,1983,277.78885630498536
43324,9781775304715.0,2012-07-01,0,0,378.0
43325,9781775304715.0,2018-07-10,255267,657,385.6505823627288
43326,9781775304722.0,2018-09-25,235407,810,385.01330798479086
43327,9781775304739.0,2018-11-20,153486,670,372.6358024691358
43328,9781775304746.0,2018-12-18,47660,486,95.91553133514986
43329,9781775304753.0,2019-03-05,151774,542,341.4592391304348
43330,9781775304760.0,2019-05-21,129043,349,378.4622356495468
43331,9781775312208.0,2018-03-11,5209,38,194.85
43332,9781775312918.0,2018-06-26,113631,331,425.900406504065
43333,9781775316213.0,2018-04-06,6460,50,113.40599455040872
43334,9781775318217.0,2018-06-01,639311,2219,432.8577405857741
43335,9781775324201.0,2018-03-31,13901,220,98.53508771929825
43336,9781775327202.0,2018-04-24,54438,225,227.9945945945946
43337,9781775327219.0,2018-06-05,39969,241,274.85925925925926
43338,9781775333715.0,2018-11-13,499,1,504.0
43339,9781775337317.0,2018-05-24,2283,9,356.14285714285717
43340,9781775342915.0,2018-06-17,19980,20,999.0
43341,9781775343257.0,2018-06-27,3075164,7811,462.4636678200692
43342,9781775343301.0,2018-05-15,975429,4994,293.1993569131833
43343,9781775343363.0,2019-04-21,15197,158,95.22058823529412
43344,9781775343714.0,2018-09-11,77894,81,938.2024539877301
43345,9781775348924.0,2018-05-16,58098,303,294.9448818897638
43346,9781775349105.0,2018-05-06,194959,1888,121.13174603174603
43347,9781775354116.0,2018-05-27,225995,264,1359.5185185185185
43348,9781775354703.0,2018-05-02,10136,117,97.89506172839506
43349,9781775354703.0,2018-05-03,6279,21,299.07142857142856
43350,9781775364900.0,2018-06-04,49108,160,355.2155172413793
43351,9781775376811.0,2018-08-04,0,0,399.0
43352,9781775376811.0,2018-09-04,337328,1443,460.5949119373777
43353,9781775380955.0,2011-10-01,1596,4,399.0
43354,9781775380955.0,2018-10-01,707547,1782,391.379381443299
43355,9781775380955.0,2024-04-10,1197,3,399.0
43356,9781775380955.0,2074-01-11,479,1,479.0
43357,9781775380962.0,2018-12-04,601439,1940,389.79551122194516
43358,9781775490821.0,2014-10-20,273216,414,780.6078799249531
43359,9781775490821.0,2014-11-01,297508,422,815.4090909090909
43360,9781775490913.0,2016-02-22,92144,87,1049.336
43361,9781775490913.0,2016-03-01,42861,39,1099.0
43362,9781775491309.0,2018-06-01,134847,126,1078.8732394366198
43363,9781775491408.0,2017-07-24,96658,212,884.2603878116344
43364,9781775491408.0,2017-08-01,316044,245,1213.7136752136753
43365,9781775491446.0,2017-10-23,272901,407,830.9208494208494
43366,9781775491446.0,2017-11-01,404551,422,1080.1363636363637
43367,9781775491644.0,2018-11-16,1085529,943,1153.5872093023256
43368,9781775491644.0,2018-12-01,19285,15,1199.0
43369,9781775491705.0,2019-02-18,74776,60,1218.875
43370,9781775491705.0,2019-03-01,0,0,1199.0
43371,9781775491729.0,2019-04-15,912539,1019,858.7317073170732
43372,9781775593591.0,2017-09-14,95878,122,802.442396313364
43373,9781775593874.0,2018-08-30,38591,47,851.2857142857143
43374,9781775594215.0,2019-09-09,46465,40,1239.121212121212
43375,9781775846833.0,2019-03-01,121104,84,1414.1886120996442
43376,9781776091201.0,2016-06-01,65556,92,739.2962962962963
43377,9781776091225.0,2017-07-01,86497,88,947.023346303502
