,Author,Title,PublishedDate,ISBN13
301,['John Owens'],Sword and Pen,2012,9781481057592
302,['John Owens'],Opening Night,2008,9781419687082
303,"['Peter Balaskas', 'Krista Ball', 'Anna Cates', 'Lynn Veach Sadler']",Bardic Tales and Sage Advice,2010,9781453826461
304,"['Kenneth N. Owens', 'John Augustus Sutter']",John Sutter and a Wider West,2002,9780803286184
305,"['David Fletcher', 'John Owens']",Chili Dog MVP,2022,9781737923633
306,['John Owens'],"Plain Papers Relating to the Excise Branch of the Inland Revenue Department, From 1621 to 1878, Or, a History of the Excise",2018,9780342225125
307,['John Owen'],"The Reason of Faith; Or, an Answer Unto That Enquiry, Wherefore We Believe the Scripture to be the Word of God. ... By John Owen, D.D. Abridged by John Kirkpatrick",2018,9781385680070
308,['John Owen'],Hebrews,1999,9781856841849
309,['John L. Owens'],The Ninth Generation,2008,9781604776577
310,['John Bunyan'],The Pilgrim's Progress,2003,9780192803610
311,['John Owen'],Overcoming Sin and Temptation,2015,9781433550089
312,"['John Owens', 'Cedric Levonne Davis']","Learn to Spell, Read and Say ABC's with the Backyard Buddis",2019,9781092507820
313,['International John Bunyan Society. Conference'],"Reception, Appropriation, Recollection",2007,9783039107209
314,['John Owens'],Davy's Run,2019,9781703647433
315,"['Eric Owens', 'Princeton Review (Firm)', 'John Owens']",The Best 159 Law Schools,2005,9780375764981
316,['John Owen'],Works of John Owen-V 05:,1991,9780851510675
317,['John Owen'],Exposition of Hebrews,1985,9780801066733
318,['John Mitchell Owens'],The Sixth String,2014,9781771231367
319,"['John Owen', 'Henry Mayo']",Spiritually Minded,2019,9780530941950
320,"['John Owen', 'William H. Goold', 'Andrew Thomson']",The Works of John Owen,2018,9783337669935
321,['John Owen'],The Glory of Christ,2021,9781800400702
322,"['John Keane', 'John Owens']",After Full Employment,2019,9780429398216
323,"['Eric Owens', 'John Owens', 'Jennifer Adams', 'Andrea Kornstein']",The Best 169 Law Schools,2013,9780804124348
324,"['Jan Barnett', 'John Owens', 'Murray Fitzsimmons']",Fresh from the Earth,1986,9780701819101
325,"['W R Owens', 'P N Furbank', 'Liz Bellamy', 'John Mullan', 'Maurice Hindle', 'John McVeagh']","The Novels of Daniel Defoe, Part II",2017,9781351220538
326,['John Baylis'],The Globalization of World Politics,2020,9780198825548
327,"['Clifford Owens', 'John Parish Bowles']",Clifford Owens,2012,9780984177660
328,"['John Ike', 'Mitchell Owens']",John Ike: 9 Houses/9 Stories,2023,9780865654273
329,"['John 1616-1683 Owen', 'William 1787-1830 Orme']",WORKS OF JOHN OWEN,2016,9781371176419
330,"['John 1616-1683 Owen', 'Andrew 1814-1901 Thomson', 'W. H. (William H. ). Goold']",WORKS OF JOHN OWEN,2016,9781373320667
331,['John Owen'],The Works of John Owen; Volume 4,2018,9780341955597
332,['Allen Wyler'],Dead Head,2007,9780765355966
333,['Allen Wyler'],Deadly Odds,2014,9781941286043
334,['Allen Wyler'],Dead Ringer,2013,9781938231131
335,['Allen Wyler'],Deadly Errors,2015,9781938231193
336,['Allen Wyler'],Dead Wrong,2015,9781938231162
337,['Allen Wyler'],Dead End Deal,2013,9781938231049
338,['Gary Allen Smith'],Epic Films,2015,9781476604183
339,['Michael Allen'],Contemporary US Cinema,2014,9781317874195
340,['Scott Allen Nollen'],Three Bad Men,2013,9781476601601
