,Author,Title,PublishedDate,ISBN13
17942,['Tamera Will Wissinger'],There Was an Old Lady Who Gobbled a Skink,2016,9781634509343
17943,['Mark Latham'],A Conga Line of Suckholes,2006,9780522853056
17944,['Mark A. Latham'],Sherlock Holmes - A Betrayal in Blood,2017,9781783298679
17945,['Mark Latham'],The Cthulhu Campaigns,2016,9781472816023
17946,['Mark Latham'],The Headless Horseman of Sleepy Hollow,2015,9781472807984
17947,['Mark Latham'],Bug Hunts,2015,9781472810731
17948,['Mark Latham'],Broken Legions,2016,9781472815149
17949,['Mark Latham'],Chosen Men,2016,9781472810816
17950,['Mark Latham'],Frostgrave: Ghost Archipelago: Destiny's Call,2018,9781472832689
17951,['Mark Latham'],The Iscariot Sanction,2016,9781783296835
17952,['Mark Latham'],Latham at Large,2015,9780522867251
17953,['Laurie Muench Albano'],Milwaukee County Parks,2007,9780738550848
17954,['Laurie Nussdorfer'],Brokers of Public Trust,2009,9780801895098
17955,"['David Hoekstra', 'Alice Von Housen', 'Laurie Levy']",The Unofficial Guide to Chicago,2009,9780470379998
17956,['Laurie Stras'],Women and Music in Sixteenth-Century Ferrara,2018,9781108691444
17957,['Laurie Pippen'],"Laurie Pippen’s All Natural Colorants for Cosmetic, Culinary, and Textile Dyeing",2015,9781933039749
17958,['Laurie Schneider Adams'],Italian Renaissance Art,2018,9780429974748
17959,['Laurie Zelinger'],Please Explain Vaccines to Me,2021,9781615996124
17960,"['Laurie Buonanno', 'Michael Buonanno']",Remembering Italian America,2021,9781000349368
17961,['Laurie Nussdorfer'],Civic Politics in the Rome of Urban VIII,2019,9780691197630
17962,"['Laurie Kennedy-Malone', 'Kathleen Ryan Fletcher', 'Lori Martin-Plank']",Advanced Practice Nursing in the Care of Older Adults,2014,9780803641242
17963,['Laurie Pippen'],Laurie Pippen’s All Natural Antibacterial Agents,2015,9781933039589
17964,['Laurie Pippen'],Laurie Pippen’s All Natural Antiviral Agents,2015,9781933039756
17965,"['Fr. Joseph Ponessa', 'Laurie Watson Manhardt']",Come and See: Estudio Católico de la Biblia El Evangelio según San Mateo,2020,9781947792531
17966,['Pastor Ken Reed'],Fifty Words of Encouragement Just for You,2022,9781638748366
